Pm2.5,Pm10,No2,So2,Co,Aqi,Date,City
71.08,47.26,98.95,49.28,9.01,263,2012-07-18,New York
152.84,64.45,20.73,10.32,1.29,133,2012-07-19,New York
91.75,44.25,6.9,38.69,6.09,412,2012-07-20,New York
139.8,285.52,94.81,24.53,2.44,475,2012-07-21,New York
72.27,44.4,57.78,49.31,5.38,232,2012-07-22,New York
134.71,176.15,90.42,40.91,3.53,186,2012-07-23,New York
58.02,248.41,28.3,43.86,1.54,98,2012-07-24,New York
25.63,287.57,51.78,11.41,5.62,160,2012-07-25,New York
11.07,276.58,44.49,24.24,1.03,436,2012-07-26,New York
140.73,55.88,88.35,31.76,9.11,462,2012-07-27,New York
121.76,286.0,52.4,14.44,4.1,307,2012-07-28,New York
37.87,115.03,6.58,22.33,1.63,408,2012-07-29,New York
21.32,205.51,98.86,42.48,6.17,389,2012-07-30,New York
167.72,35.18,73.98,33.69,2.49,105,2012-07-31,New York
189.02,161.55,20.4,23.54,0.81,72,2012-08-01,New York
34.21,223.44,22.74,2.44,4.34,163,2012-08-02,New York
34.28,227.8,50.37,44.03,5.28,447,2012-08-03,New York
54.1,189.05,14.19,7.81,6.61,198,2012-08-04,New York
29.23,131.47,56.03,37.78,2.07,212,2012-08-05,New York
67.73,266.1,93.47,40.51,8.94,259,2012-08-06,New York
65.17,264.26,18.19,48.75,1.05,235,2012-08-07,New York
154.49,287.2,64.46,34.41,7.58,337,2012-08-08,New York
147.22,163.33,76.09,5.26,5.0,271,2012-08-09,New York
153.58,48.02,29.01,24.56,7.91,464,2012-08-10,New York
171.19,90.54,33.52,5.31,5.08,377,2012-08-11,New York
78.34,42.87,76.41,17.1,5.05,337,2012-08-12,New York
169.52,61.91,56.4,38.37,9.3,183,2012-08-13,New York
54.92,192.48,72.94,23.61,5.32,287,2012-08-14,New York
45.01,221.06,57.54,9.87,0.48,269,2012-08-15,New York
21.62,71.44,74.12,32.52,3.25,479,2012-08-16,New York
146.5,87.62,23.76,48.77,0.92,460,2012-08-17,New York
108.75,270.05,15.65,32.53,0.14,338,2012-08-18,New York
60.82,36.11,35.43,45.45,5.17,33,2012-08-19,New York
196.28,127.57,51.13,43.61,3.46,373,2012-08-20,New York
33.94,197.25,15.98,38.62,4.74,480,2012-08-21,New York
79.85,241.7,33.89,7.35,5.99,116,2012-08-22,New York
23.56,261.62,28.94,45.64,8.93,359,2012-08-23,New York
147.04,120.21,67.43,30.36,5.76,311,2012-08-24,New York
138.16,284.31,89.32,14.63,1.99,15,2012-08-25,New York
98.4,66.5,81.89,31.38,5.12,217,2012-08-26,New York
24.91,182.82,77.99,9.76,3.12,156,2012-08-27,New York
181.49,27.86,71.93,19.46,5.14,452,2012-08-28,New York
21.54,290.38,32.82,12.75,6.66,342,2012-08-29,New York
39.98,73.92,39.95,40.47,3.75,52,2012-08-30,New York
116.47,280.01,67.91,33.71,2.42,471,2012-08-31,New York
117.34,98.91,40.4,8.32,3.17,331,2012-09-01,New York
20.25,293.72,35.26,46.24,8.64,415,2012-09-02,New York
95.76,41.16,18.24,11.85,7.98,65,2012-09-03,New York
172.73,134.81,43.96,46.15,3.86,360,2012-09-04,New York
138.75,184.89,67.59,21.38,8.0,102,2012-09-05,New York
55.75,155.63,82.62,13.52,3.72,409,2012-09-06,New York
162.82,30.45,57.68,47.11,5.37,124,2012-09-07,New York
177.42,176.93,38.25,27.38,6.27,492,2012-09-08,New York
155.1,73.21,42.8,10.36,8.23,321,2012-09-09,New York
79.33,259.05,36.33,16.16,4.41,403,2012-09-10,New York
124.42,269.77,68.52,30.61,0.81,409,2012-09-11,New York
80.28,291.04,64.52,9.85,7.09,88,2012-09-12,New York
103.94,173.67,38.77,48.1,0.49,190,2012-09-13,New York
129.67,29.25,8.05,29.23,9.47,487,2012-09-14,New York
25.43,106.85,94.61,14.28,3.8,204,2012-09-15,New York
57.14,93.13,67.66,27.29,1.97,403,2012-09-16,New York
83.68,27.51,32.08,6.89,4.77,361,2012-09-17,New York
27.37,272.91,23.03,34.97,6.48,133,2012-09-18,New York
126.53,168.37,58.86,31.03,2.5,102,2012-09-19,New York
132.51,81.28,10.39,25.19,4.33,197,2012-09-20,New York
164.93,26.19,23.67,31.16,6.61,46,2012-09-21,New York
97.82,178.96,80.61,41.6,5.39,345,2012-09-22,New York
169.25,39.43,91.3,15.13,3.78,338,2012-09-23,New York
19.02,284.92,35.15,26.06,6.08,381,2012-09-24,New York
155.07,36.24,81.91,15.77,8.33,362,2012-09-25,New York
97.0,272.37,26.29,33.45,4.72,449,2012-09-26,New York
58.85,216.32,86.81,27.35,1.12,152,2012-09-27,New York
195.83,248.42,60.86,30.54,5.91,461,2012-09-28,New York
172.01,235.87,49.59,37.17,0.1,195,2012-09-29,New York
111.44,72.11,5.95,40.99,6.68,15,2012-09-30,New York
73.83,111.34,22.17,23.54,6.94,387,2012-10-01,New York
58.81,122.05,52.55,44.2,3.86,228,2012-10-02,New York
85.06,22.57,67.97,17.9,8.44,468,2012-10-03,New York
108.13,203.95,77.54,41.72,2.73,300,2012-10-04,New York
139.76,246.6,78.13,14.67,1.12,209,2012-10-05,New York
46.3,227.44,81.3,25.28,3.66,375,2012-10-06,New York
114.86,109.56,31.08,14.29,6.22,58,2012-10-07,New York
146.66,153.16,24.67,3.54,1.33,383,2012-10-08,New York
142.46,75.97,9.0,23.47,3.67,81,2012-10-09,New York
143.67,276.88,91.93,45.37,9.97,471,2012-10-10,New York
87.97,273.18,35.6,15.71,9.85,190,2012-10-11,New York
122.53,204.68,44.82,42.84,9.43,59,2012-10-12,New York
86.38,125.23,29.44,46.26,6.12,240,2012-10-13,New York
140.38,221.33,45.79,31.84,7.99,455,2012-10-14,New York
10.72,285.6,38.63,45.29,5.25,247,2012-10-15,New York
35.43,123.35,57.06,15.82,9.51,96,2012-10-16,New York
40.77,32.79,57.31,24.27,3.23,179,2012-10-17,New York
54.8,223.58,74.75,14.39,2.31,483,2012-10-18,New York
182.97,172.99,78.87,25.63,3.03,73,2012-10-19,New York
147.42,255.96,18.37,36.69,1.79,57,2012-10-20,New York
167.75,117.68,49.52,15.39,6.04,329,2012-10-21,New York
97.33,34.83,39.16,23.43,3.94,473,2012-10-22,New York
65.47,209.1,75.24,28.92,2.16,135,2012-10-23,New York
135.69,232.63,79.39,28.89,9.69,44,2012-10-24,New York
193.5,189.19,8.03,31.91,9.71,482,2012-10-25,New York
130.04,238.58,87.95,47.03,9.76,21,2012-10-26,New York
31.15,213.43,43.59,2.56,2.28,252,2012-10-27,New York
190.54,120.4,19.64,12.98,1.87,457,2012-10-28,New York
35.8,251.23,87.37,42.83,0.16,427,2012-10-29,New York
135.76,258.48,93.59,29.58,6.52,85,2012-10-30,New York
75.61,199.28,26.38,21.72,5.33,109,2012-10-31,New York
83.64,234.55,16.41,26.16,2.81,13,2012-11-01,New York
14.29,211.98,24.2,43.21,3.84,320,2012-11-02,New York
188.27,205.95,56.88,34.09,7.6,122,2012-11-03,New York
171.28,260.7,92.34,39.56,9.06,393,2012-11-04,New York
183.58,281.39,5.02,6.75,5.35,24,2012-11-05,New York
42.24,260.63,42.86,18.6,7.02,279,2012-11-06,New York
46.75,293.14,20.5,17.22,1.85,40,2012-11-07,New York
162.07,29.13,74.43,10.86,6.35,339,2012-11-08,New York
84.03,38.52,45.92,18.8,3.4,333,2012-11-09,New York
183.77,63.92,18.52,19.97,4.14,316,2012-11-10,New York
12.81,296.23,90.85,45.96,6.02,212,2012-11-11,New York
74.74,131.5,74.17,36.65,8.0,373,2012-11-12,New York
165.81,241.62,89.36,18.28,2.48,485,2012-11-13,New York
177.4,241.04,75.61,16.22,1.61,408,2012-11-14,New York
88.76,96.77,75.69,7.65,6.9,181,2012-11-15,New York
28.67,187.61,80.88,34.9,6.59,425,2012-11-16,New York
181.93,271.43,32.56,36.95,3.4,67,2012-11-17,New York
177.05,205.88,38.2,3.03,3.98,69,2012-11-18,New York
32.19,270.58,27.43,36.74,4.5,431,2012-11-19,New York
24.29,226.88,20.69,32.36,8.63,450,2012-11-20,New York
186.36,67.9,34.44,21.97,7.63,278,2012-11-21,New York
148.55,138.19,38.32,38.37,3.62,398,2012-11-22,New York
94.14,41.15,77.4,31.65,5.16,122,2012-11-23,New York
95.69,114.8,66.44,28.83,7.03,153,2012-11-24,New York
177.18,179.63,12.15,23.49,5.23,359,2012-11-25,New York
47.47,60.54,49.07,47.85,9.95,160,2012-11-26,New York
52.76,178.43,69.54,23.49,8.02,98,2012-11-27,New York
54.91,166.94,56.21,27.16,3.53,37,2012-11-28,New York
153.77,109.64,7.53,30.91,8.13,163,2012-11-29,New York
132.63,75.62,92.68,31.08,1.2,252,2012-11-30,New York
21.0,104.73,71.83,46.59,6.42,370,2012-12-01,New York
93.75,273.43,14.81,25.47,4.89,11,2012-12-02,New York
112.8,152.01,27.17,14.69,5.44,238,2012-12-03,New York
98.93,295.85,98.86,16.39,1.27,17,2012-12-04,New York
97.48,27.49,60.59,36.41,1.81,224,2012-12-05,New York
168.08,59.48,89.75,33.03,8.1,19,2012-12-06,New York
128.76,111.8,73.45,25.31,7.79,288,2012-12-07,New York
150.98,167.29,20.34,48.72,5.39,204,2012-12-08,New York
21.07,122.56,51.34,19.51,5.4,3,2012-12-09,New York
144.76,88.57,42.87,39.46,4.26,190,2012-12-10,New York
35.64,137.86,84.45,20.28,7.54,333,2012-12-11,New York
161.03,150.08,67.92,5.85,1.65,163,2012-12-12,New York
193.68,205.89,26.86,21.86,1.67,157,2012-12-13,New York
189.45,143.74,35.48,28.47,9.31,44,2012-12-14,New York
54.43,240.91,48.93,39.08,4.86,268,2012-12-15,New York
102.51,105.26,29.62,16.28,6.88,118,2012-12-16,New York
178.43,243.25,46.29,21.62,7.37,394,2012-12-17,New York
64.3,31.93,30.38,7.72,0.79,200,2012-12-18,New York
87.87,268.07,50.53,20.94,2.16,83,2012-12-19,New York
35.01,199.36,17.95,23.01,9.42,45,2012-12-20,New York
20.24,137.68,55.92,9.45,4.31,401,2012-12-21,New York
93.06,30.0,32.84,29.89,8.98,111,2012-12-22,New York
120.11,115.99,10.61,16.64,7.9,180,2012-12-23,New York
194.74,205.8,36.43,7.22,7.76,340,2012-12-24,New York
68.09,110.23,17.81,19.7,7.33,8,2012-12-25,New York
178.5,120.18,85.23,39.05,6.59,334,2012-12-26,New York
52.28,269.46,32.88,38.74,8.61,233,2012-12-27,New York
145.97,64.53,63.82,29.9,8.6,347,2012-12-28,New York
126.51,229.33,85.42,37.93,5.06,248,2012-12-29,New York
181.49,67.44,88.96,43.44,0.63,342,2012-12-30,New York
167.62,110.04,33.36,16.52,7.33,13,2012-12-31,New York
75.99,104.1,21.67,25.0,9.1,75,2013-01-01,New York
194.33,277.68,26.63,48.14,0.18,293,2013-01-02,New York
114.77,136.53,35.54,20.05,2.29,271,2013-01-03,New York
131.73,184.98,98.42,30.53,7.93,157,2013-01-04,New York
16.72,267.43,9.12,16.66,5.58,84,2013-01-05,New York
72.85,61.65,73.57,21.83,5.27,445,2013-01-06,New York
143.23,40.95,28.2,44.93,3.59,160,2013-01-07,New York
71.83,84.07,68.54,19.81,7.42,51,2013-01-08,New York
171.84,92.1,89.24,9.48,8.4,120,2013-01-09,New York
62.24,22.02,50.32,46.1,8.55,151,2013-01-10,New York
188.45,190.43,29.53,46.32,4.08,438,2013-01-11,New York
103.08,145.79,31.8,42.3,8.43,110,2013-01-12,New York
123.39,247.39,47.77,7.21,2.05,33,2013-01-13,New York
83.87,142.29,53.81,38.44,4.71,335,2013-01-14,New York
188.34,253.81,85.92,31.46,9.95,296,2013-01-15,New York
142.51,95.05,45.01,3.83,4.9,292,2013-01-16,New York
68.69,74.95,65.6,20.74,2.49,443,2013-01-17,New York
112.03,292.84,28.74,28.43,7.07,288,2013-01-18,New York
13.07,75.23,41.41,6.19,7.24,325,2013-01-19,New York
162.65,182.49,17.41,9.23,0.26,38,2013-01-20,New York
51.64,28.25,85.64,33.87,6.21,488,2013-01-21,New York
109.21,138.6,31.43,37.8,4.45,346,2013-01-22,New York
199.74,208.94,52.39,14.83,7.83,451,2013-01-23,New York
195.07,37.76,80.59,13.22,9.87,63,2013-01-24,New York
33.44,193.18,45.72,39.73,1.65,458,2013-01-25,New York
170.63,57.94,39.04,21.12,1.59,59,2013-01-26,New York
195.97,235.01,48.75,4.16,5.91,260,2013-01-27,New York
146.77,199.25,27.5,21.2,1.32,141,2013-01-28,New York
64.58,231.9,25.78,24.92,8.77,199,2013-01-29,New York
39.18,238.93,7.48,30.12,6.35,19,2013-01-30,New York
41.44,29.68,52.62,14.56,9.26,122,2013-01-31,New York
107.32,182.13,61.32,2.46,7.48,406,2013-02-01,New York
63.88,286.87,73.48,2.64,8.39,399,2013-02-02,New York
84.56,189.71,50.07,15.14,8.58,413,2013-02-03,New York
140.26,286.92,67.88,41.9,1.55,371,2013-02-04,New York
32.25,82.57,47.16,18.38,2.88,350,2013-02-05,New York
101.73,283.52,21.05,37.59,6.86,216,2013-02-06,New York
151.83,287.54,47.13,27.96,7.6,149,2013-02-07,New York
163.97,26.73,87.27,6.44,9.36,486,2013-02-08,New York
58.73,140.8,6.84,30.35,7.41,404,2013-02-09,New York
171.11,112.08,54.94,45.73,2.33,458,2013-02-10,New York
61.85,277.86,26.56,23.72,5.01,427,2013-02-11,New York
104.48,38.77,82.89,5.71,3.32,196,2013-02-12,New York
37.16,231.75,21.8,16.17,3.63,321,2013-02-13,New York
166.95,51.28,91.36,28.7,5.36,393,2013-02-14,New York
68.37,285.5,49.68,23.77,1.34,9,2013-02-15,New York
78.83,206.53,86.96,19.7,7.64,481,2013-02-16,New York
168.43,185.11,95.9,22.32,1.72,272,2013-02-17,New York
114.29,221.78,58.8,2.03,0.95,13,2013-02-18,New York
169.12,115.61,98.09,27.41,4.67,293,2013-02-19,New York
189.95,142.97,42.17,15.38,6.57,253,2013-02-20,New York
14.53,70.48,9.93,2.3,9.67,177,2013-02-21,New York
142.23,79.52,58.73,47.5,8.23,342,2013-02-22,New York
190.69,260.16,43.11,22.98,9.46,18,2013-02-23,New York
141.81,196.54,25.47,34.65,5.04,50,2013-02-24,New York
16.38,66.7,74.53,7.89,2.99,368,2013-02-25,New York
188.85,225.71,87.48,38.31,1.05,349,2013-02-26,New York
64.78,219.35,25.49,14.66,8.43,221,2013-02-27,New York
42.92,25.4,94.07,3.04,8.07,359,2013-02-28,New York
14.72,23.39,38.54,7.3,7.14,446,2013-03-01,New York
102.61,81.58,62.25,28.29,1.2,311,2013-03-02,New York
161.52,149.21,14.22,22.27,2.41,210,2013-03-03,New York
166.75,175.46,38.45,27.59,6.42,293,2013-03-04,New York
198.6,279.9,44.87,37.49,2.03,212,2013-03-05,New York
112.73,112.74,10.78,38.4,3.69,321,2013-03-06,New York
60.01,121.0,65.23,12.46,1.31,345,2013-03-07,New York
122.23,206.36,5.94,26.32,6.78,12,2013-03-08,New York
43.02,96.39,19.49,7.55,0.53,24,2013-03-09,New York
109.37,194.43,73.92,24.08,3.41,449,2013-03-10,New York
